Domain,Unique Identifier,Name,Description,Last Change Date
Result Time Basis(ResultTimeBasisText),115,95 Day,95th consecutive day,8/5/2009 12:51:14 PM
Result Time Basis(ResultTimeBasisText),116,96 Day,96th consecutive day,8/5/2009 12:51:14 PM
Result Time Basis(ResultTimeBasisText),2,96 Hours,"done, produced, or occurring in an elapsed time of 96 hours",7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),117,97 Day,97th consecutive day,6/20/2013 1:44:00 PM
Result Time Basis(ResultTimeBasisText),118,98 Day,98th consecutive day,6/20/2013 1:44:00 PM
Result Time Basis(ResultTimeBasisText),119,99 Day,99th consecutive day,6/20/2013 1:44:00 PM
Result Time Basis(ResultTimeBasisText),124,BP,Before Present,9/10/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),41,Daily,"done, produced, or occurring every day or every weekday; every day",7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),147,Daily-even,recurring (~4 hour) period of a day cycle: 2pm to 6pm (sunset),9/30/2014 9:22:40 AM
Result Time Basis(ResultTimeBasisText),145,Daily-morn,recurring (~4 hour) period of a day cycle: sunrise (6am) to 10am,9/30/2014 9:22:40 AM
Result Time Basis(ResultTimeBasisText),148,Daily-night,recurring (~12 hour) period of a day cycle: 6pm to 6am (sunrise),9/30/2014 9:22:40 AM
Result Time Basis(ResultTimeBasisText),146,Daily-noon,recurring (~4 hour) period of a day cycle: (midday) 10am to 2pm,9/30/2014 9:22:40 AM
Result Time Basis(ResultTimeBasisText),122,Fall/Autumn,9/21 thru 12/20 of the annual calendar year,4/17/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),215,Hourly,done or occurring every hour; by the hour.,2/26/2018 3:24:55 PM
Result Time Basis(ResultTimeBasisText),40,Monthly,"done, produced, or occurring every month or every monthday; every month",7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),149,PeriodOfRec,Period of Record - contains all of the data ever taken,11/19/2015 11:19:58 AM
Result Time Basis(ResultTimeBasisText),39,Quarterly,"done, produced, or occurring once every quarter of a year; events occuring four times a year",7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),150,Seasonal,relating to or characteristic of a particular season of the year,1/19/2016 8:30:06 AM
Result Time Basis(ResultTimeBasisText),110,Spring,3/21 thru 6/20 of the annual calendar year,4/17/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),121,Summer,6/21 thru 9/20 of the annual calendar year,4/17/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),42,Ultimate,being or happening at the end of a process; final; a final or fundamental fact or principle,7/26/2006 10:57:47 AM
Result Time Basis(ResultTimeBasisText),125,Week 0,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),126,Week 1,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),135,Week 10,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),136,Week 11,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),137,Week 12,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),138,Week 13,Week # of Survey,9/24/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),139,Week 14,Week # of Survey,9/29/2014 1:24:54 PM
Result Time Basis(ResultTimeBasisText),140,Week 15,Week # of Survey,9/29/2014 12:00:00 AM
Result Time Basis(ResultTimeBasisText),141,Week 16,Week # of Survey,9/29/2014 12:00:00 AM
