Domain,Unique Identifier,Code,Name,Description,State Name,Last Change Date
National Aquifer(NationalAquiferCode),61,S100SECSLP,Southeastern Coastal Plain aquifer system,Southeastern Coastal Plain aquifer system;     ValidDate: 2001-08-01,"Alabama, Georgia, Mississippi, South Carolina, Tennessee",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),63,S100SURFCL,Surficial aquifer system,Surficial aquifer system (eastern U.S.);     ValidDate: 2001-08-01,"Alabama, Florida, Georgia, North Carolina, South Carolina",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),64,S100TXCLUP,Texas coastal uplands aquifer system,Texas coastal uplands aquifer system;     ValidDate: 2001-08-01,"Louisiana, Texas",10/10/2019 10:42:32 AM
National Aquifer(NationalAquiferCode),10,S300CAMORD,Cambrian-Ordovician aquifer system,Cambrian-Ordovician aquifer system (northern Midwest);     ValidDate: 2001-08-01,"Illinois, Iowa, Michigan, Minnesota, Missouri, Wisconsin",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),18,S300DNVRBS,Denver Basin aquifer system,Denver Basin aquifer system;     ValidDate: 2001-08-01,Colorado,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),21,S400FLORDN,Floridan aquifer system,Floridan aquifer system;     ValidDate: 2001-08-01,"Alabama, Florida, Georgia, South Carolina",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),42,S400OZRKPL,Ozark Plateaus aquifer system,Ozark Plateaus aquifer system (Missouri);     ValidDate: 2001-08-01,"Arkansas, Illinois, Kansas, Missouri, Oklahoma",10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),53,S400RSWLBS,Roswell Basin aquifer system,Roswell Basin aquifer system (New Mexico);     ValidDate: 2001-08-01,New Mexico,10/10/2019 10:42:31 AM
National Aquifer(NationalAquiferCode),20,S500EDRTRN,Edwards-Trinity aquifer system,Edwards-Trinity aquifer system (Texas and Oklahoma);     ValidDate: 2001-08-01,"Arkansas, Oklahoma, Texas",10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),24,S500INTRMD,Intermediate aquifer system,GW Atlas: Intermediate aquifer system (Florida);     ValidDate: 2001-08-01,Florida,10/10/2019 10:42:30 AM
National Aquifer(NationalAquiferCode),38,S500NGRTPL,Northern Great Plains aquifer system (no longer valid),"(Includes four national aquifers but is not considered a national aquifer itself. The component aquifers are Lower Tertiary, Upper Cretaceous, Lower Cretaceous, and Paleozoic.);     ValidDate: 2001-08-01","Montana, North Dakota, South Dakota, Wyoming",10/10/2019 10:42:31 AM

