Domain,Unique Identifier,Code,Name,State Code,EPA Region Code,EPA Name,EPA Identifier,Last Change Date
Tribe(TribalCode),85,	345,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",SD,8,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",100000244,7/26/2006 10:57:50 AM
Tribe(TribalCode),86,	346,Yankton Sioux Tribe of South Dakota,SD,8,Yankton Sioux Tribe of South Dakota,100000331,7/26/2006 10:57:50 AM
Tribe(TribalCode),87,	347,"Sisseton-Wahpeton Sioux Tribe of the Lake Traverse Reservation, South Dakota",ND; SD,8,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",100000278,7/26/2006 10:57:50 AM
Tribe(TribalCode),88,	380,Omaha Tribe of Nebraska,IA; NE,7,Omaha Tribe of Nebraska,100000181,7/26/2006 10:57:50 AM
Tribe(TribalCode),89,	381,Ponca Tribe of Nebraska,IA; NE,7,Ponca Tribe of Nebraska,100000207,7/26/2006 10:57:50 AM
Tribe(TribalCode),90,	382,Santee Sioux Tribe of the Santee Reservation of Nebraska,NE,7,"Santee Sioux Nation, Nebraska",100000261,7/26/2006 10:57:50 AM
Tribe(TribalCode),91,	383,Winnebago Tribe of Nebraska,IA; NE,7,Winnebago Tribe of Nebraska,100000327,7/26/2006 10:57:50 AM
Tribe(TribalCode),92,	400,"Minnesota Chippewa Tribe, Minnesota",MN,5,"Minnesota Chippewa Tribe, Minnesota (Six component reservations: Bois Forte Band (Nett Lake); Fond du Lac Band; Grand Portage Band; Leech Lake Band; Mille Lacs Band; White Earth Band)",100000161,7/26/2006 10:57:50 AM
Tribe(TribalCode),93,	401,"Upper Sioux Community, Minnesota",MN; WI,5,"Upper Sioux Community, Minnesota",100000316,7/26/2006 10:57:50 AM
Tribe(TribalCode),97,	402,Lower Sioux Indian Community in the State of Minnesota,MN,5,Lower Sioux Indian Community in the State of Minnesota (previously listed as the Lower Sioux Indian Community of Minnesota Mdewakanton Sioux Indians of the Lower Sioux Reservation in Minnesota),100000145,7/26/2017 7:31:51 AM
Tribe(TribalCode),94,	403,Prairie Island Indian Community in the State of Minnesota,MN,5,Prairie Island Indian Community in the State of Minnesota,100000211,7/26/2006 10:57:50 AM
Tribe(TribalCode),568,	404,"Minnesota Chippewa Tribe, Minnesota (Bois Forte Band (Nett Lake))",MN,5,"Minnesota Chippewa Tribe, Minnesota (Bois Forte Band (Nett Lake))**",100000571,7/26/2017 8:00:23 AM
Tribe(TribalCode),569,	405,"Minnesota Chippewa Tribe, Minnesota (Fond du Lac Band)",MN,5,"Minnesota Chippewa Tribe, Minnesota (Fond du Lac Band)**",100000572,7/26/2017 8:00:23 AM
Tribe(TribalCode),570,	406,"Minnesota Chippewa Tribe, Minnesota (Grand Portage Band)",MN,5,"Minnesota Chippewa Tribe, Minnesota (Grand Portage Band)**",100000573,7/26/2017 8:00:23 AM
Tribe(TribalCode),571,	407,"Minnesota Chippewa Tribe, Minnesota (Leech Lake Band)",MN,5,"Minnesota Chippewa Tribe, Minnesota (Leech Lake Band)**",100000574,7/26/2017 8:00:23 AM
Tribe(TribalCode),572,	408,"Minnesota Chippewa Tribe, Minnesota (Mille Lacs Band)",MN,5,"Minnesota Chippewa Tribe, Minnesota (Mille Lacs Band)**",100000575,7/26/2017 8:00:23 AM
Tribe(TribalCode),95,	409,"Red Lake Band of Chippewa Indians, Minnesota",MN,5,"Red Lake Band of Chippewa Indians, Minnesota",100000237,7/26/2006 10:57:50 AM
